"","symbol","MEcolor","gene.signif.corr","gene.signif.corr.pval"
"1","1600012H06Rik","black",0.154052571335473,0.42493622891467
"2","2410022M11Rik","black",-0.0973583904689302,0.615368460492078
"3","2510009E07Rik","black",-0.0790842408527534,0.68342930112208
"4","4921531C22Rik","black",0.296384969780617,0.118479292395769
"5","9330159F19Rik","black",0.0506021078258797,0.79433853487419
"6","9330179D12Rik","black",0.220658450361055,0.250036706403756
"7","A230107N01Rik","black",0.0331604979190112,0.864407451580455
"8","Aar2","black",-0.0805427925130966,0.677897962833793
"9","Actr1a","black",-0.0588195581017156,0.761827089871175
"10","Actr1b","black",-0.13108272480026,0.497907967440397
"11","Adamts20","black",-0.0410682342759023,0.832481537887229
"12","Adap1","black",-0.223663698352083,0.24347964471503
"13","Adora1","black",-0.129620605426448,0.502755820605988
"14","Ahcy","black",0.00790852998970343,0.967522378732892
"15","Aif1","black",0.420615017752998,0.0230863251970068
"16","Ammecr1","black",0.16119008818192,0.403528899050024
"17","Ano10","black",-0.0365941498012573,0.850516081855321
"18","Ap2a2","black",-0.0151296004327629,0.937910953944421
"19","Araf","black",0.0577708330225558,0.765955501029022
"20","Asb1","black",-0.210831974368262,0.272282703190826
"21","Asb8","black",-0.136767510873657,0.479284744336667
"22","Atad2b","black",0.0152693370185274,0.937338609547573
"23","Atg4a","black",0.0889007378049058,0.646524083496394
"24","Atp11b","black",0.0573186601031068,0.767737468316424
"25","Atp6v0e2","black",-0.125668816632925,0.515975227417929
"26","Atr","black",0.13989487978473,0.469194751851127
"27","B930025P03Rik","black",-0.272191465603437,0.153161189354675
"28","BC029722","black",-0.12432330787624,0.520514646080126
"29","Bcas3","black",-0.0894702670075416,0.644406869152208
"30","Bcl6","black",0.139727315144391,0.469732548315501
"31","Blmh","black",-0.189729784076105,0.324243469390085
"32","Brap","black",-0.296569264845792,0.118239600202372
"33","Brf2","black",0.0400993274420026,0.836380370427271
"34","Brinp2","black",-0.0925405824725008,0.633040188462947
"35","Btbd9","black",-0.110422233753242,0.568519193644808
"36","C030018K13Rik","black",0.0250168823271185,0.897504861322147
"37","C030023E24Rik","black",0.0775429829706647,0.689291752630356
"38","Carmil1","black",0.146083042710831,0.44956070555866
"39","Catsper2","black",0.262974899398521,0.168119670330452
"40","Cblb","black",0.0248557016957548,0.898161819543861
"41","Cbr4","black",-0.0606995113116802,0.754442513815439
"42","Cc2d2a","black",-0.0207159005628003,0.915056662813116
"43","Ccdc136","black",-0.0261082447238035,0.893058327818678
"44","Ccnj","black",-0.215053352679146,0.262574480823996
"45","Cd2bp2","black",-0.356968033199243,0.0573096875541709
"46","Cd99l2","black",-0.144084157960333,0.455854303205029
"47","Cdip1","black",-0.153304640549938,0.427215074469953
"48","Cela1","black",-0.0638492579940912,0.742117731700464
"49","Cep44","black",-0.0231995505959704,0.904915885856321
"50","Cerk","black",-0.118468651289835,0.540490022875922
"51","Chchd4","black",-0.0326227953001489,0.86658650253533
"52","Chic2","black",-0.00912654051830699,0.962523666543891
"53","Chpf","black",-0.0129122830453409,0.946996686569967
"54","Chst15","black",0.143173959642236,0.458735522065842
"55","Clpb","black",-0.080449216327449,0.678252349012794
